"Entity","Contact date","Contact end date","Contact type(s)","Subject","Action of interest","City official(s)","Lobbyist(s)",
"Portland State University","01/21/2026","03/13/2026","Email","Education","Invitations and sharing PSU events","Aisling Coghlan; Grace Galvez Mora; Keith Wilson; Mary Li; Raihana Ansary ","Cynthia Gomez",
"Portland State University","01/22/2026","","Goodwill Building (non-lobbying)","Transportation: streets, sidewalks and street lighting","Gathering to celebrate 4th Avenue Ribbon Cutting ","Millicent Williams","Cynthia Gomez",
"Portland State University","01/23/2026","03/25/2026","Committee Meeting; Email; Personal Meeting; Telephone; Text Message; Virtual Meeting","Arts and Culture","PSU Performing Arts and Culture Center, future of large-scale venues","Chariti Montez; Donnie Oliveira; Eben Hoffer; Elana Pirtle-Guiney; Elijah Crawford; Jamie Dunphy; Keith Wilson; Lorne Bulling; Megan Beyer; Olivia Clark; Raihana Ansary ","Amy Ruiz; Ann Cudd; Chris Oxley; Cynthia Gomez; Kimberly Koops; Sarah Schwarz",
"Portland State University","01/30/2026","","Personal Meeting","Education","Tour of PSU Art, Art History and Design Building","Chariti Montez; Karl Lisle","Donald Forsythe",
"Portland State University","02/10/2026","","Committee Meeting","Police and Public Safety","Student Safety","Keith Wilson; Robert Day","Cynthia Gomez",
"Portland State University","02/11/2026","03/12/2026","Personal Meeting; Text Message","Business and Economic Development","Tom McCall Waterfront Park","Raihana Ansary ; Raymond Lee; Sonia Schmanski","Tyler Frisbee",
"Portland State University","02/19/2026","","Personal Meeting","Education","Introductory Meeting and Tour","Eva Stanganelli; Jamie Dunphy","Ann Cudd; Chris Oxley; Kimberly Koops; Sarah Schwarz",
"Portland State University","02/23/2026","","Meeting Preparation","Business and Economic Development","PSU Campus tour with key PSU personnel, including PA+CC site, new and planned construction, innovation assets. ","Cornell Wesley","Angela Jackson; Ann Cudd; Kimberly Koops",
"Portland State University","02/24/2026","03/19/2026","Email; Virtual Meeting","Transportation: streets, sidewalks and street lighting","Alternative Transportation Funding","Claire Adamsick; Megan Beyer","Cynthia Gomez; Tyler Frisbee",
"Portland State University","03/20/2026","","Personal Meeting","Education","Introductory Meeting","Raymond Lee","Ann Cudd; Kimberly Koops; Sarah Schwarz",
"Portland: Neighbors Welcome","01/05/2026","03/31/2026","Email; Personal Meeting; Social Media; Virtual Meeting","Housing and Community Development","Development and promotion of City Council Resolution 2026-106 to direct the City Administrator to accelerate the timeline for the Inner Eastside Area Planning Project","Angelita Morillo; Christian Aguinaga ; Claire Adamsick; Dan Ryan; Eric Engstrom; Maria Sipin; Mitch Green; Sameer Kanal; Sofia Diffee; Steve Novick; Suzy Deuster; Will Mespelt","Andrea Haverkamp; Debbie Kitchin; Heidi Hart; Ian Meisner; Luke Norman; Sam Stuckey; Will Hollingsworth",
"Portland: Neighbors Welcome","01/05/2026","03/12/2026","Email; Personal Meeting","Housing and Community Development","Promoting single-stair building code changes and the PNW Dreams Single-Stair Design Competition","Angelita Morillo; Candace Avalos; Christian Aguinaga ; Maria Sipin; Mitch Green; Ruth Campbell; Suzy Deuster","Andrea Haverkamp; Heidi Hart; Sam Stuckey; Will Hollingsworth",
"Pro-Animal Oregon","01/01/2026","03/31/2026","Text Message","Business and Economic Development","Text messages to schedule phone calls to discuss timeline and logistics for foie gras ban","Christian Aguinaga ; Mitch Green","Eva Hamer; Samuel Schillinger",
"Pro-Animal Oregon","01/01/2026","03/31/2026","Telephone","Business and Economic Development","Phone calls to discuss timeline and logistics for foie gras ban hearing","Christian Aguinaga ; Mitch Green","Eva Hamer; Samuel Schillinger",
"Pro-Animal Oregon","01/01/2026","03/31/2026","Direct Mail","Business and Economic Development","Mobilized constituents to write postcards urging city councillors to support the foie gras ban. ","Angelita Morillo; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Eric Zimmerman; Jamie Dunphy; Loretta Smith; Mitch Green; Olivia Clark; Sameer Kanal; Steve Novick; Tiffany Koyama Lane","Eva Hamer; Samuel Schillinger",
"Pro-Animal Oregon","01/01/2026","03/31/2026","Goodwill Building (non-lobbying); Meeting Preparation; Personal Meeting","Business and Economic Development","Mobilize constituents to attend town hall, pop-up, City Club Events to urge city councillors to support foie gras ban.  ","Angelita Morillo; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Eric Zimmerman; Jamie Dunphy; Loretta Smith; Mitch Green; Olivia Clark; Sameer Kanal; Steve Novick; Tiffany Koyama Lane","Eva Hamer; Samuel Schillinger",
"Pro-Animal Oregon","01/01/2026","03/31/2026","Goodwill Building (non-lobbying); Indirect Lobbying; Social Media","Business and Economic Development","Promoted Arts and Economy Meeting, shared excerpts from meeting, urged supporters to leave positive comments on press. ","Dan Ryan; Jamie Dunphy; Loretta Smith; Mitch Green; Olivia Clark","Eva Hamer; Samuel Schillinger",
"Pro-Animal Oregon","01/01/2026","03/31/2026","Communication Preparation; Email","Business and Economic Development","Mobilized constituents to email counselors requesting support for the foie gras ban. ","Angelita Morillo; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Eric Zimmerman; Jamie Dunphy; Loretta Smith; Mitch Green; Olivia Clark; Sameer Kanal; Steve Novick; Tiffany Koyama Lane","Eva Hamer; Samuel Schillinger",
"Pro-Animal Oregon","01/01/2026","01/27/2026","Committee Meeting; Communication Preparation","Business and Economic Development","Prepared presentation, FAQ, and mobilized constituents to give public comment for arts and Economy Committee meeting ","Dan Ryan; Jamie Dunphy; Loretta Smith; Mitch Green; Olivia Clark","Eva Hamer; Samuel Schillinger",
"Pro-Animal Oregon","01/09/2026","","Virtual Meeting","Business and Economic Development","Met to discuss enforcement and implementation of proposed foie gras sales ban","Christian Aguinaga ; Mitch Green","Eva Hamer; Samuel Schillinger",
"Pro-Animal Oregon","01/15/2026","","Indirect Lobbying; Virtual Meeting","Business and Economic Development","Met to discuss and prepare for Arts and Economy Committee hearing. ","Christian Aguinaga ; Dan Ryan; Jamie Dunphy; Loretta Smith; Mitch Green; Olivia Clark","Eva Hamer; Samuel Schillinger",
"Pro-Animal Oregon","01/16/2026","","Indirect Lobbying; Personal Meeting","Business and Economic Development","Met to discuss logistics of foie gras ban Arts & Economy committee hearing","Christian Aguinaga ; Dan Ryan; Jamie Dunphy; Loretta Smith; Mitch Green; Olivia Clark","Eva Hamer; Samuel Schillinger",
"Pro-Animal Oregon","01/20/2026","","Meeting Preparation","Business and Economic Development","Prepared for meeting with Bureau of Planning and Sustainability regarding enforcement and implementation of foie gras ban. ","Eric Engstrom","Samuel Schillinger",
"Pro-Animal Oregon","01/22/2026","","Virtual Meeting","Business and Economic Development","Met with Bureau of Planning and Sustainability to discuss potential enforcement and implementation of foie gras ban. ","Eric Engstrom","Eva Hamer; Samuel Schillinger",
"Pro-Animal Oregon","01/27/2026","","Committee Meeting","Business and Economic Development","Presented on Foie Gras Ban at Arts and Economy Committee Meeting ","Dan Ryan; Jamie Dunphy; Loretta Smith; Mitch Green; Olivia Clark","Eva Hamer; Samuel Schillinger",
"Pro-Animal Oregon","03/01/2026","03/31/2026","Communication Preparation; Email","Business and Economic Development","E-mailed councilors' data from research study, photos from Foie Gras Farm. ","Angelita Morillo; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Eric Zimmerman; Jamie Dunphy; Loretta Smith; Mitch Green; Olivia Clark; Sameer Kanal; Steve Novick; Tiffany Koyama Lane","Eva Hamer; Samuel Schillinger",
"Pro-Animal Oregon","03/06/2026","","Telephone","Business and Economic Development","Matt to discuss timeline and considerations for a full Council hearing for foie gras ban. ","Christian Aguinaga ; Mitch Green","Eva Hamer; Samuel Schillinger",
"Related NW","01/30/2026","","Virtual Meeting","Housing and Community Development","Broadway Corridor Parcel 6 Development","Mitch Green","Jennifer Arguinzoni-Ward; Peter Andrews",
"Related NW","02/17/2026","","Personal Meeting","Housing and Community Development","Broadway Corridor Parcel 6 Development ","Loretta Smith","Jennifer Arguinzoni-Ward; Peter Andrews",
"Related NW","02/17/2026","","Personal Meeting","Housing and Community Development","Broadway Corridor Parcel 6 Development ","Mitch Green","Jennifer Arguinzoni-Ward; Peter Andrews",
"Related NW","02/24/2026","03/24/2026","Personal Meeting","Housing and Community Development","Broadway Corridor Parcel 6 Development ","Eric Zimmerman; Raihana Ansary ","Jennifer Arguinzoni-Ward; Nate Grein; Peter Andrews",
"Rip City Management/PTB","01/05/2026","03/30/2026","Email; Personal Meeting; Telephone; Text Message","Business and Economic Development","Moda","Aisling Coghlan; Ashley McKenzie; Christian Aguinaga ; Donnie Oliveira; Eric Zimmerman; Erik Dean; Jamie Dunphy; Jonas Biery; Katie Shriver; Loretta Smith; Maria Sipin; Mitch Green; Olivia Clark; Raihana Ansary ; Raymond Lee; Sam Chase; Sameer Kanal","Dan Jarman",
"TriMet","01/07/2026","","Email","Transportation: streets, sidewalks and street lighting","PCEF Project Support
","Steve Novick","John Serra",
"TriMet","01/09/2026","","Email","Transportation: streets, sidewalks and street lighting","PCEF Project Support","Steve Novick","John Serra",
"TriMet","01/14/2026","","Personal Meeting","Transportation: streets, sidewalks and street lighting","82nd Avenue Tour","Millicent Williams","JC Vannatta; Sam Desue",
"TriMet","01/15/2026","","Committee Meeting","Transportation: streets, sidewalks and street lighting","JPACT Meeting","Andre Miller; Angelita Morillo; Keith Wilson; Millicent Williams","Sam Desue",
"TriMet","01/16/2026","","Committee Meeting","Transportation: streets, sidewalks and street lighting","82nd Avenue Policy and Budget Committee","Millicent Williams","Sam Desue",
"TriMet","01/16/2026","","Text Message","Transportation: streets, sidewalks and street lighting","TriMet Operations/Shelters and Benches Costs","Millicent Williams","JC Vannatta",
"TriMet","01/16/2026","","Personal Meeting","Transportation: streets, sidewalks and street lighting","82nd Ave Project","Millicent Williams","JC Vannatta",
"TriMet","01/20/2026","","Personal Meeting","Transportation: streets, sidewalks and street lighting","Service Cuts Presentation","Elana Pirtle-Guiney","JC Vannatta; John Serra",
"TriMet","01/23/2026","","Telephone","Transportation: streets, sidewalks and street lighting","PCEF Project Funding","Steve Novick","John Serra",
"TriMet","01/23/2026","","Email","Transportation: streets, sidewalks and street lighting","PCEF Project Support","Steve Novick","John Serra",
"TriMet","01/29/2026","","Goodwill Building (non-lobbying)","Transportation: streets, sidewalks and street lighting","Relationship Building Meeting","Cornell Wesley","Sam Desue",
"TriMet","01/30/2026","","Goodwill Building (non-lobbying)","Transportation: streets, sidewalks and street lighting","Relationship Building Meeting","Raymond Lee","Sam Desue",
"TriMet","02/06/2026","","Telephone","Transportation: streets, sidewalks and street lighting","PCEF Project Funding","Steve Novick","John Serra",
"TriMet","02/09/2026","","Virtual Meeting","Transportation: streets, sidewalks and street lighting","Banfield Corridor Cleanup","Kristopher Taft","John Serra",
"TriMet","02/10/2026","","Committee Meeting","Transportation: streets, sidewalks and street lighting","Conversation with TriMet Leadership, goodwill building","Eric Zimmerman","Andrew Wilson; JC Vannatta; Sam Desue",
"TriMet","02/11/2026","","Email","Transportation: streets, sidewalks and street lighting","PCEF Project Support","Angelita Morillo; Candace Avalos; Dan Ryan; Kezia Wanner; Sameer Kanal; Steve Novick","John Serra",
"TriMet","02/13/2026","","Committee Meeting","Transportation: streets, sidewalks and street lighting","82nd Avenue Policy and Budget Committee
","Millicent Williams","JC Vannatta; Sam Desue",
"TriMet","02/25/2026","","Personal Meeting","Transportation: streets, sidewalks and street lighting","Relationship Building Meeting","Kezia Wanner","John Serra",
"TriMet","02/26/2026","","Committee Meeting","Transportation: streets, sidewalks and street lighting","Advance Portland Strategy Group","Keith Wilson","JC Vannatta",
"TriMet","03/06/2026","","Personal Meeting","Transportation: streets, sidewalks and street lighting","MAX System Tour","Dan Ryan","Andrew Wilson; John Serra; Sam Desue",
"TriMet","03/11/2026","","Personal Meeting","Transportation: streets, sidewalks and street lighting","City Request for additional transit passes and support for homeless service providers","Skyler Brocker-Knapp","JC Vannatta; John Serra",
"TriMet","03/18/2026","","Personal Meeting","Transportation: streets, sidewalks and street lighting","Service Cuts Conversation","Jacq Tjaden; Sameer Kanal","John Serra",
"TriMet","03/30/2026","","Personal Meeting","Transportation: streets, sidewalks and street lighting","Relationship Building Meeting","Raymond Lee","Sam Desue",
"TriMet","03/30/2026","","Telephone","Transportation: streets, sidewalks and street lighting","Bus Camera Pilot","Millicent Williams","JC Vannatta",
"TriMet","03/31/2026","","Text Message","Transportation: streets, sidewalks and street lighting","Transportation Utility Fee","Millicent Williams","JC Vannatta",
"Uber Technologies Inc.","02/13/2026","","Virtual Meeting","Transportation: streets, sidewalks and street lighting","TNC Earnings Ordinance","Elana Pirtle-Guiney; Steve Novick","Allison Holub",
"Uber Technologies Inc.","02/23/2026","","Communication Preparation; Email","Transportation: streets, sidewalks and street lighting","TNC Earnings Ordinance","Elana Pirtle-Guiney; Steve Novick","Allison Holub",
"Uber Technologies Inc.","02/26/2026","","Committee Meeting","Transportation: streets, sidewalks and street lighting","TNC Earnings Ordinance","Jamie Dunphy; Loretta Smith; Mitch Green; Sameer Kanal; Steve Novick","Allison Holub",
"Uber Technologies Inc.","02/27/2026","","Communication Preparation; Email","Transportation: streets, sidewalks and street lighting","TNC Earnings Ordinance","Elana Pirtle-Guiney; Steve Novick","Allison Holub",
"Uber Technologies Inc.","03/02/2026","","Virtual Meeting","Transportation: streets, sidewalks and street lighting","TNC Earnings Ordinance","Millicent Williams","Allison Holub",
"Uber Technologies Inc.","03/05/2026","","Virtual Meeting","Transportation: streets, sidewalks and street lighting","TNC Earnings Ordinance","Sameer Kanal","Allison Holub",
"Uber Technologies Inc.","03/06/2026","","Virtual Meeting","Transportation: streets, sidewalks and street lighting","TNC Earnings Standard","Loretta Smith","Allison Holub",
"Uber Technologies Inc.","03/06/2026","","Virtual Meeting","Transportation: streets, sidewalks and street lighting","TNC Earnings Ordinance","Steve Novick","Allison Holub",
"Uber Technologies Inc.","03/09/2026","","Virtual Meeting","Transportation: streets, sidewalks and street lighting","TNC Earnings Ordinance","Elana Pirtle-Guiney","Allison Holub",
"Vigor LLC","01/13/2026","03/30/2026","Email; Meeting Preparation; Virtual Meeting","Planning","Council briefings re: Economic Opportunities Analysis (BPS)
","Angelita Morillo; Eben Hoffer; Eric Engstrom; Olivia Clark; Shaniqua Henry-Davis","Benton J Strong",
"Waymo LLC","01/13/2026","03/31/2026","Email; Personal Meeting; Telephone; Text Message","Business and Economic Development","Autonomous Vehicles","Aisling Coghlan; Elijah Crawford; Loretta Smith; Mary Li; Megan Beyer; Millicent Williams; Tiffany Koyama Lane","Amy Ruiz",
"Waymo LLC","01/15/2026","02/09/2026","Text Message; Virtual Meeting","Transportation: streets, sidewalks and street lighting","Autonomous Vehicles","Millicent Williams","Amy Ruiz",
"Working Waterfront Coalition","01/01/2026","03/31/2026","Committee Meeting; Communication Preparation; Email; Meeting Preparation; Personal Meeting; Virtual Meeting","Other: Land Use","EOA","Alan DeLaTorre; Alexander Browne; Angelita Morillo; Ashley McKenzie; Brian Ames; Dan Ryan; Eben Hoffer; Eli Spevak; Eric Engstrom; Erica Thompson; Eva Stanganelli; Jeffrey Lynott; Jennifier Stewart; Lorne Bulling; Mary-Rain O'Meara; Megan Beyer; Olivia Clark; Raymond Lee; Shaniqua Henry-Davis; Steph Routh; Will Mespelt","Tanya Hartnett",
"Working Waterfront Coalition","01/01/2026","03/31/2026","Committee Meeting; Communication Preparation; Email; Meeting Preparation; Personal Meeting; Virtual Meeting","Other: Fuel Tanks","CEI Hub","Alexander Browne; Angelita Morillo; Ashley McKenzie; Brian Ames; Dan Ryan; Eben Hoffer; Eli Spevak; Eric Engstrom; Erica Thompson; Eva Stanganelli; Jeffrey Lynott; Lorne Bulling; Mary-Rain O'Meara; Megan Beyer; Olivia Clark; Raymond Lee; Shaniqua Henry-Davis; Steph Routh; Will Mespelt","Tanya Hartnett",
"Working Waterfront Coalition","01/01/2026","03/31/2026","Committee Meeting; Communication Preparation; Email; Meeting Preparation; Personal Meeting; Virtual Meeting","Other: Land Use","CCIL","Adam Murray; Aisling Coghlan; Alexander Browne; Angelita Morillo; Ashley McKenzie; Brian Ames; Dan Ryan; Eben Hoffer; Eli Spevak; Eric Engstrom; Erica Thompson; Eva Stanganelli; Jeffrey Lynott; Jennifier Stewart; Lorne Bulling; Mary-Rain O'Meara; Megan Beyer; Olivia Clark; Raymond Lee; Shaniqua Henry-Davis; Steph Routh; Will Mespelt","Tanya Hartnett",
