"Entity","Contact date","Contact type","Subject","Action of interest","City official(s)","Lobbyist(s)",
"Portland Business Alliance","10/05/2015","Personal Meeting","Business and Economic Development","Portland building","Miller, Fred","Marion Haynes; Sandra McDonough",
"Portland Business Alliance","10/08/2015","Committee Meeting","Business and Economic Development","Mayor Hales meeting","Hales, Charlie","Lisa Frisch; Lynnae Berg; Marion Haynes; Sandra McDonough",
"Portland Business Alliance","10/08/2015","Personal Meeting","Business and Economic Development","State of emergency, demo tax, Portland building, TIF set aside","Alpert, Josh; Hales, Charlie","Lynnae Berg; Marion Haynes; Mitch Hornecker",
"Portland Business Alliance","10/08/2015","Personal Meeting","Business and Economic Development","Leadership Portland program day with Dan Saltzman","Saltzman, Dan","Raihana Ansary",
"Portland Business Alliance","10/08/2015","Personal Meeting","Business and Economic Development","Leadership Portland program day with Mayor Charlie Hales","Hales, Charlie","Raihana Ansary",
"Portland Business Alliance","10/09/2015","Personal Meeting","Business and Economic Development","Impact fee","Callahan, Shannon","Marion Haynes",
"Portland Business Alliance","10/13/2015","Direct Mail","Business and Economic Development","Demolition tax letter to Mayor Charlie Hales","Fish, Nick; Fritz, Amanda; Hales, Charlie; Novick, Steve; Saltzman, Dan","Sandra McDonough",
"Portland Business Alliance","10/13/2015","Direct Mail","Business and Economic Development","TIF Set-Aside Letter to Mayor Hales and Dan Saltzman","Fish, Nick; Fritz, Amanda; Hales, Charlie; Novick, Steve; Saltzman, Dan","Sandra McDonough",
"Portland Business Alliance","10/13/2015","Direct Mail","Business and Economic Development","Employment zoning project letter to Andre Baugh and Planning and Sustainability Commission","Anderson, Susan; Baugh, Andre; Fish, Nick; Fritz, Amanda; Hales, Charlie; Novick, Steve; Saltzman, Dan","Sandra McDonough",
"Portland Business Alliance","10/14/2015","Telephone","Business and Economic Development","Green light district","Fish, Nick","Sandra McDonough",
"Portland Business Alliance","10/14/2015","Text Message","Business and Economic Development","Green light district","Fish, Nick","Sandra McDonough",
"Portland Business Alliance","10/14/2015","Telephone","Business and Economic Development","Green light district","Fritz, Amanda","Sandra McDonough",
"Portland Business Alliance","10/14/2015","Committee Meeting","Business and Economic Development","Testify at Council re: 1,000 restriction on marijuana retail","Fish, Nick; Fritz, Amanda; Hales, Charlie; Novick, Steve; Saltzman, Dan","Lynnae Berg",
"Portland Business Alliance","10/14/2015","Text Message","Business and Economic Development","Marijuana","Alpert, Josh","Marion Haynes",
"Portland Business Alliance","10/14/2015","Telephone","Business and Economic Development","Marijuana","Finn, Brendan","Marion Haynes",
"Portland Business Alliance","10/14/2015","Text Message","Business and Economic Development","Marijuana","Novick, Steve","Marion Haynes",
"Portland Business Alliance","10/15/2015","Email","Business and Economic Development","Email Josh Alpert re: Clean and Safe scope of work","Alpert, Josh","Lynnae Berg",
"Portland Business Alliance","10/15/2015","Committee Meeting","Business and Economic Development","Fossil fuels advisory committee","Dingfelder, Jackie","Raihana Ansary",
"Portland Business Alliance","10/16/2015","Direct Mail","Business and Economic Development","Portland building letter to Mayor Hales","Fish, Nick; Fritz, Amanda; Hales, Charlie; Novick, Steve; Saltzman, Dan","Sandra McDonough",
"Portland Business Alliance","10/19/2015","Telephone","Business and Economic Development","DMI","Grumm, Matthew","Marion Haynes",
"Portland Business Alliance","10/21/2015","Telephone","Business and Economic Development","Diversity issues","Valderrama, Andrea","Marion Haynes",
"Portland Business Alliance","10/21/2015","Email","Business and Economic Development","Transportation funding","Novick, Steve","Marion Haynes",
"Portland Business Alliance","10/25/2015","Committee Meeting","Business and Economic Development","Disabled parking task force","Novick, Steve","Lisa Frisch",
"Portland Business Alliance","10/27/2015","Direct Mail","Business and Economic Development","Development impact fee letter to Dan Saltzman","Creager, Kurt; Fish, Nick; Fritz, Amanda; Hales, Charlie; Novick, Steve; Saltzman, Dan","Sandra McDonough",
"Portland Business Alliance","10/27/2015","Direct Mail","Business and Economic Development","TIF revenue letter to Mayor Hales and Dan Saltzman","Fish, Nick; Fritz, Amanda; Hales, Charlie; Novick, Steve; Saltzman, Dan","Sandra McDonough",
"Portland Business Alliance","10/29/2015","Email","Business and Economic Development","North park blocks restroom","Stover, Chad","Lynnae Berg",
"Portland Business Alliance","10/30/2015","Telephone","Business and Economic Development","Fossil fuel policy","Warner, Chris","Marion Haynes",
"Portland Business Alliance","10/30/2015","Telephone","Business and Economic Development","Fossil fuel policy","Finn, Brendan","Marion Haynes",
