"Entity","Contact date","Contact end date","Contact type(s)","Subject","Action of interest","City official(s)","Lobbyist(s)",
"Neighbors for Clean Air","04/01/2026","06/30/2026","Email; Goodwill Building (non-lobbying); Personal Meeting; Virtual Meeting","Water","Engagement in Portland Harbor Superfund Clean up affordability ","Annie Von Burg; Candace Avalos; Devyn Melnychuk; Elijah Crawford; Keith Wilson; Olivia Clark; Steve Novick; Tiffany Koyama Lane","Mary Peveto; Nicholina Terzieff",
"Northwest Grocery Retail Association","05/01/2026","","Personal Meeting","Business and Economic Development","Mayor's grocers summit","Keith Wilson; Taylor Zajonic","Amanda Dalton; Amy Ruiz",
"Northwest Oregon Labor Council","04/14/2026","","Committee Meeting","Labor","Testimony before City Life Committee at Chair's invitation","Angelita Morillo; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Eric Zimmerman","Laurie Wimmer",
"Northwest Oregon Labor Council","04/17/2026","","Committee Meeting","Financial Administration and Management","Service on Financial Stabilization Work Group","Eric Zimmerman; Jonas Biery; Mitch Green","Laurie Wimmer",
"Northwest Oregon Labor Council","04/17/2026","","Personal Meeting","Labor","Worker-friendly budgeting ideas","Steve Novick","Laurie Wimmer",
"Northwest Oregon Labor Council","04/19/2026","","Committee Meeting","Financial Administration and Management","Early presentation of Mayor's budget","Aisling Coghlan; Keith Wilson; Raymond Lee; Ronald Zito","Laurie Wimmer",
"Northwest Oregon Labor Council","04/24/2026","","Committee Meeting","Financial Administration and Management","Service on Financial Stabilization Work Group","Eric Zimmerman; Jonas Biery; Mitch Green","Laurie Wimmer",
"Northwest Oregon Labor Council","04/24/2026","","Personal Meeting","Labor","Followup on April 17 meeting","Steve Novick","Laurie Wimmer",
"Northwest Oregon Labor Council","05/01/2026","","Committee Meeting","Financial Administration and Management","Service on Financial Stabilization Work Group","Eric Zimmerman; Jonas Biery; Mitch Green","Laurie Wimmer",
"Northwest Oregon Labor Council","05/08/2026","","Personal Meeting","Labor","Building trades issues -RWEA","Raymond Lee","Laurie Wimmer",
"Northwest Oregon Labor Council","05/12/2026","","Telephone","Labor","Budget and PSU Performing Arts Center (PACC)","Jamie Dunphy","Laurie Wimmer",
"Northwest Oregon Labor Council","05/15/2026","","Committee Meeting","Financial Administration and Management","Service on Financial Stabilization Work Group","Eric Zimmerman; Jonas Biery; Mitch Green","Laurie Wimmer",
"Northwest Oregon Labor Council","05/15/2026","05/16/2026","Text Message","Labor","Comment on budget amendment","Mitch Green","Laurie Wimmer",
"Northwest Oregon Labor Council","05/16/2026","","Text Message","Labor","Budget amendment comment","Angelita Morillo","Laurie Wimmer",
"Northwest Oregon Labor Council","05/17/2026","","Text Message","Labor","Comment on budget amendment","Jamie Dunphy","Laurie Wimmer",
"Northwest Oregon Labor Council","05/18/2026","05/20/2026","Committee Meeting","Financial Administration and Management","Observation of 3 days of budget hearings","Angelita Morillo; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Eric Zimmerman; Jamie Dunphy; Keith Wilson; Loretta Smith; Mitch Green; Olivia Clark; Sameer Kanal; Steve Novick; Tiffany Koyama Lane","Laurie Wimmer",
"Northwest Oregon Labor Council","05/20/2026","","Text Message","Labor","Budget amendment comment","Tiffany Koyama Lane","Laurie Wimmer",
"Northwest Oregon Labor Council","06/02/2026","","Personal Meeting","Labor","Meeting to discuss labor issues and budget","Eric Zimmerman","Laurie Wimmer",
"Northwest Oregon Labor Council","06/05/2026","","Committee Meeting","Financial Administration and Management","Service on Financial Stabilization Work Group","Eric Zimmerman; Jonas Biery; Mitch Green","Laurie Wimmer",
"Northwest Oregon Labor Council","06/26/2026","","Committee Meeting","Financial Administration and Management","Service on Financial Stabilization Work Group","Eric Zimmerman; Jonas Biery; Mitch Green","Laurie Wimmer",
"NW Natural","06/04/2026","","Communication Preparation","Other: Utilities; energy","Prep for Councilor Dunphy tour","Jamie Dunphy","Amy Rathfelder; Jennifer Yocom; Justin Palfreyman; Kathryn Williams",
"NW Natural","06/05/2026","","Personal Meeting","Other: Utilities; energy","Tour of resource center; update on current initiatives and introduction to CEO","Jamie Dunphy","Amy Rathfelder; Justin Palfreyman; Kathryn Williams",
"NW Natural","06/22/2026","","Communication Preparation","Sustainable Development: energy","CEI Hub","Steph Routh","Amy Rathfelder; Jennifer Yocom",
"Oregon AFSCME","04/01/2026","06/30/2026","Committee Meeting; Communication Preparation; Email; Goodwill Building (non-lobbying); Indirect Lobbying; Meeting Preparation; Personal Meeting; Telephone; Text Message; Virtual Meeting","Labor","2026-27 City of Portland Budget Process: Support to add back proposed cut positions of City of Portland workers. ","Aisling Coghlan; Angelita Morillo; Aubri Qian; Ava Atwood; Bob Cozzie; Candace Avalos; Cara Althoff; Christian Aguinaga ; Dan Ryan; Devin Mullins; Devyn Melnychuk; Eben Hoffer; Edna Aguirre Velazquez; Elana Pirtle-Guiney; Elijah Crawford; Emily Aneja; Emily Hebbron; Eric Zimmerman; Eva Stanganelli; Faisal Osman; Gloria Ochoa-Sandoval; Jamie Dunphy; Katie Shriver; Keith Wilson; Lauren Jin; Loretta Smith; Lorne Bulling; Maria Sipin; Mary Li; Megan Beyer; Meredith Wadlington; Millicent Williams; Mitch Green; Olivia Clark; Robert Day; Sam Chase; Sameer Kanal; Spencer Knowles; Steve Novick; Suzy Deuster; Tiffany Koyama Lane; Zach Ward","Susan Allen",
"Oregon Health & Science University","04/09/2026","04/12/2026","Email","Transportation: streets, sidewalks and street lighting","Asked if Council was considering a different transportation fee methodology, wanted to not be surprised in council","Megan Beyer; Millicent Williams; Priya Dhanapal","Michael Harrison",
"Oregon Health & Science University","05/18/2026","06/01/2026","Email","Environment: sewer/storm water","Expressed concerns over delay of sewer project","Priya Dhanapal; Raihana Ansary ; Ting Lu","Michael Harrison",
"Oregon Health & Science University","06/05/2026","06/30/2026","Email; Meeting Preparation; Personal Meeting; Telephone","Planning","Concerns over requirements to screen electrical vaults and water backflow devices with walls, hedges or fences","Angelita Morillo; Ava Atwood; Candace Avalos; Dan Ryan; Donnie Oliveira; Elana Pirtle-Guiney; Eric Engstrom; Eric Zimmerman; Gloria Ochoa-Sandoval; Jamie Dunphy; Loretta Smith; Maria Sipin; Mary Li; Mitch Green; Olivia Clark; Sameer Kanal; Sofia Diffee; Steve Novick; Tiffany Koyama Lane; Zach Ward","Michael Harrison",
"Oregon Museum of Science and Industry ","04/06/2026","","Personal Meeting","Urban Renewal","OMSI Redevelopment Project","Elana Pirtle-Guiney","Erin Graham; Leah Nanpei; Rachael Wiggins Emory",
"Oregon Museum of Science and Industry ","04/14/2026","","Telephone","Urban Renewal","OMSI Redevelopment Project","Aisling Coghlan","Erin Graham",
"Oregon Museum of Science and Industry ","04/20/2026","06/09/2026","Email","Urban Renewal","OMSI redevelopment project","Megan Beyer; Olivia Clark","Dan Bates; Rachael Wiggins Emory",
"Oregon Museum of Science and Industry ","05/28/2026","","Email","Urban Renewal","OMSI Redevelopment Project","Raymond Lee","Rachael Wiggins Emory",
"Outfront Media","04/28/2026","","Telephone","Planning","sign code","Eric Engstrom","Amy Ruiz",
"Outfront Media","04/28/2026","","Email","Planning","sign code","Eric Engstrom","Amy Ruiz",
"Outfront Media","05/12/2026","","Telephone","Planning","Sign code","Eric Engstrom","Amy Ruiz",
"Outfront Media","05/26/2026","","Telephone","Planning","sign code","Eric Engstrom","Amy Ruiz",
"Outfront Media","06/23/2026","","Personal Meeting","Planning","sign code","Steve Novick","Amy Ruiz",
"Port of Portland","04/01/2026","06/30/2026","Telephone","Business and Economic Development","Portland International Airport Administration","Raihana Ansary ","Dan Eisenbeis",
"Port of Portland","04/01/2026","06/30/2026","Personal Meeting; Telephone","Business and Economic Development","Prosper Portland budget","Devin Mullins; Katie Shriver; Megan Beyer","Dan Eisenbeis",
"Port of Portland","04/01/2026","06/30/2026","Personal Meeting","Business and Economic Development","Prosperity Council discussion at Central City Roundtable","Aisling Coghlan; Keith Wilson; Raihana Ansary ","Curtis Robinhold; Dan Eisenbeis; Morgan Gratz-Weiser",
"Port of Portland","04/01/2026","06/30/2026","Telephone","Environment: natural","Portland Harbor Superfund Cleanup","Steve Novick","Curtis Robinhold",
"Port of Portland","04/01/2026","06/30/2026","Personal Meeting","Environment: sewer/storm water","Stormwater Rate Structure
","Ting Lu","Dan Eisenbeis",
"Port of Portland","04/01/2026","06/30/2026","Personal Meeting","Other: Goodwill building","Meet and Greet
","Raymond Lee","Curtis Robinhold",
"Port of Portland","04/01/2026","06/30/2026","Telephone","Planning","CEI Hub Policy Project","Donnie Oliveira; Steve Novick","Curtis Robinhold; Dan Eisenbeis",
"Port of Portland","04/01/2026","06/30/2026","Telephone","Transportation: streets, sidewalks and street lighting","Transportation Utility Fee","Aisling Coghlan; Megan Beyer","Curtis Robinhold; Dan Eisenbeis",
"Portland Business Alliance","04/01/2026","","Email","Business and Economic Development","Clean energy and city's climate policy. ","Vivian Satterfield","Jon Isaacs",
"Portland Business Alliance","04/01/2026","","Email; Meeting Preparation","Business and Economic Development","Coordinating coffee meeting.","Aisling Coghlan","TJ McHugh",
"Portland Business Alliance","04/01/2026","","Email","Business and Economic Development","Responding to questions regarding Green Tech organizations. ","Devin Mullins","TJ McHugh",
"Portland Business Alliance","04/03/2026","","Email","Business and Economic Development","Take rate and earnings mandate opposition. ","Candace Avalos; Loretta Smith; Spencer Knowles; Steve Novick","TJ McHugh",
"Portland Business Alliance","04/03/2026","","Email","Business and Economic Development","Documentation of TriMet Care Team interaction. ","Kristopher Taft","Mark Wells",
"Portland Business Alliance","04/03/2026","","Email","Business and Economic Development","City budget. ","Eric Zimmerman","Jon Isaacs",
"Portland Business Alliance","04/05/2026","","Email","Business and Economic Development","Transportation utility fee, request for meeting. ","Raymond Lee","Andrew Hoan; Jon Isaacs",
"Portland Business Alliance","04/06/2026","","Virtual Meeting","Business and Economic Development","Planning for Vancouver Best Practices Trip. ","Cornell Wesley","Andrew Hoan",
"Portland Business Alliance","04/06/2026","","Email","Business and Economic Development","City's federal policy agenda.","Sam Chase","Jon Isaacs",
